Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Thursday,18-30,Male,Unknown,Unknown,Unknown,Lorry (11?40Q),Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,No distancing,14,0,0,0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,17,0,1,0
Sunday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Flood over 3cm. deep,Daylight,Raining,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,No distancing,15,0,0,1
Tuesday,18-30,Male,Elementary school,Owner,2-5yr,Other,Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,13,0,0,0
Monday,Over 51,Male,High school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Unknown,Not a Pedestrian,No priority to pedestrian,17,0,1,0
Saturday,18-30,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Moving Backward,18,0,1,1
Thursday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from driver's nearside,No distancing,23,1,0,0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Special vehicle,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,23,1,0,0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,20,1,0,0
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Windy,Rollover,1,1,Going straight,Not a Pedestrian,No priority to vehicle,10,0,0,0
Monday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Windy,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Overturning,15,0,0,0
Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Unknown,Not a Pedestrian,Moving Backward,9,0,1,0
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Below 1yr,No defect,Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,1,1,Going straight,Not a Pedestrian,Changing lane to the left,20,1,0,0
Tuesday,31-50,Male,High school,Employee,No Licence,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,8,0,1,0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Above 10yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Unknown,Not a Pedestrian,Driving carelessly,16,0,0,0
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Not a Pedestrian,Changing lane to the right,15,0,0,0
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Not a Pedestrian,Overtaking,6,0,0,0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving under the influence of drugs,8,0,1,0
Sunday,18-30,Male,High school,Owner,5-10yr,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,12,0,0,1
Monday,18-30,Male,Above high school,Owner,1-2yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,Changing lane to the right,15,0,0,0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Unknown,Unknown,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving to the left,7,0,1,0
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,No distancing,8,0,1,1
Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Turnover,3,1,0,0
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Other,Unknown or other,No priority to pedestrian,10,0,0,0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,No priority to vehicle,9,0,1,0
Saturday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,1,1,Moving Backward,Not a Pedestrian,Other,20,1,0,1
Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Not a Pedestrian,Changing lane to the right,11,0,0,0
Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Unknown,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,9,0,1,1
Saturday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,3,3,Going straight,Not a Pedestrian,Driving carelessly,0,1,0,1
Friday,Over 51,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Changing lane to the right,11,0,0,0
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Other,22,1,0,0
Friday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Above 10yr,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Driving carelessly,22,1,0,0
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Unknown,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,7,0,1,0
Saturday,Under 18,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Not a Pedestrian,No distancing,21,1,0,1
Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Driving carelessly,21,1,0,0
Monday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,No distancing,15,0,0,0
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Turnover,12,0,0,0
Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,No priority to pedestrian,1,1,0,0
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,5-10yrs,Unknown,Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Not a Pedestrian,No distancing,18,0,1,1
Saturday,31-50,Male,High school,Employee,Above 10yr,Public (12 seats),Owner,Below 1yr,Unknown,Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,21,1,0,1
Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Stationwagen,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,3,Moving Backward,Not a Pedestrian,Changing lane to the left,19,0,1,0
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,Overtaking,17,0,1,0
Wednesday,18-30,Male,High school,Employee,Above 10yr,Taxi,Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Unknown,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,16,0,0,0
Friday,Unknown,Male,Unknown,Unknown,Unknown,Other,Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,No distancing,22,1,0,0
Sunday,18-30,Male,Writing & reading,Employee,Below 1yr,Pick up upto 10Q,Other,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Waiting to go,Not a Pedestrian,No priority to pedestrian,10,0,0,1
Saturday,31-50,Male,Junior high school,Owner,Above 10yr,Other,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Daylight,Snow,Collision with roadside objects,3,2,Turnover,Not a Pedestrian,Overturning,11,0,0,1
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Unknown,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,2,1,Going straight,Not a Pedestrian,Moving Backward,13,0,0,0
Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,17,0,1,0
Sunday,31-50,Male,Junior high school,Employee,Unknown,Automobile,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,11,0,0,1
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,5,1,0,0
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Unknown,Unknown,Unknown,Residential areas,other,Unknown,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Unknown,Not a Pedestrian,No priority to vehicle,18,0,1,0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,17,0,1,0
Monday,Unknown,Male,Unknown,Employee,Unknown,Automobile,Owner,Unknown,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Not a Pedestrian,Changing lane to the left,18,0,1,0
Friday,31-50,Male,Unknown,Owner,5-10yr,Stationwagen,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,13,0,0,0
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Above 10yr,Unknown,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,3,2,Going straight,Not a Pedestrian,Overtaking,14,0,0,1
Wednesday,31-50,Male,Unknown,Other,Unknown,Unknown,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with animals,2,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,1,1,0,0
Saturday,31-50,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Not a Pedestrian,Moving Backward,17,0,1,1
